Number of records, Number of threads, number of request/second, Action(methods), Total time in nano second), ProjectType;;;
;;;
300,2,100,ALL,521780900,SPRING_MVC;54926290;300,2,100,ALL,900974500,WEB_FLUX;203399630
300,4,100,ALL,626194600,SPRING_MVC;66422140;300,4,100,ALL,720822000,WEB_FLUX;281105950
300,8,100,ALL,4200600,SPRING_MVC;3751920;300,8,100,ALL,159997100,WEB_FLUX;152494490
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
CREATE;;;
;;;
300,1,1,CREATE,1201276600,WEB_FLUX;204529420;;
;;;
500,1,1,DELETE_ALL,737097900,WEB_FLUX;128320910;;
;;;
100,1,1,DELETE_ALL,758070600,WEB_FLUX;;;

