Number of records, Number of threads, number of request/second, Action(methods), Total time in nano second), ProjectType
300,1,1,ALL,90694100,WEB_FLUX
300,1,1,ALL,167729099,WEB_FLUX
300,1,1,ALL,79244601,WEB_FLUX

300,1,1,ALL,1006422400,WEB_FLUX

Experiment

300,1,1,ALL,730029200,WEB_FLUX
300,1,1,ALL,74495100,WEB_FLUX
300,1,1,ALL,70711900,WEB_FLUX
300,1,1,ALL,69141500,WEB_FLUX
300,1,1,ALL,66667200,WEB_FLUX
300,1,1,ALL,68003500,WEB_FLUX
300,1,1,ALL,71564600,WEB_FLUX
300,1,1,ALL,69487100,WEB_FLUX
300,1,1,ALL,67907600,WEB_FLUX
300,1,1,ALL,66873200,WEB_FLUX

300,1,2,ALL,2133625600,WEB_FLUX
300,1,2,ALL,116940800,WEB_FLUX
300,1,2,ALL,71617500,WEB_FLUX
300,1,2,ALL,79310700,WEB_FLUX
300,1,2,ALL,71093600,WEB_FLUX
300,1,2,ALL,77350500,WEB_FLUX
300,1,2,ALL,69415800,WEB_FLUX
300,1,2,ALL,70751200,WEB_FLUX
300,1,2,ALL,69418100,WEB_FLUX
300,1,2,ALL,73101100,WEB_FLUX

300,1,4,ALL,740932400,WEB_FLUX
300,1,4,ALL,120493000,WEB_FLUX
300,1,4,ALL,75662800,WEB_FLUX
300,1,4,ALL,65451700,WEB_FLUX
300,1,4,ALL,67507500,WEB_FLUX
300,1,4,ALL,71170100,WEB_FLUX
300,1,4,ALL,79397100,WEB_FLUX
300,1,4,ALL,69240300,WEB_FLUX
300,1,4,ALL,70549900,WEB_FLUX
300,1,4,ALL,72554000,WEB_FLUX

300,1,16,ALL,727297000,WEB_FLUX
300,1,16,ALL,65641900,WEB_FLUX
300,1,16,ALL,96513300,WEB_FLUX
300,1,16,ALL,73017300,WEB_FLUX
300,1,16,ALL,125710100,WEB_FLUX
300,1,16,ALL,73887000,WEB_FLUX
300,1,16,ALL,69764000,WEB_FLUX
300,1,16,ALL,89393100,WEB_FLUX
300,1,16,ALL,113637700,WEB_FLUX
300,1,16,ALL,154101300,WEB_FLUX

300,1,32,ALL,740050000,WEB_FLUX
300,1,32,ALL,72703700,WEB_FLUX
300,1,32,ALL,68416200,WEB_FLUX
300,1,32,ALL,65918400,WEB_FLUX
300,1,32,ALL,107446900,WEB_FLUX
300,1,32,ALL,415142600,WEB_FLUX
300,1,32,ALL,99454200,WEB_FLUX
300,1,32,ALL,85916000,WEB_FLUX
300,1,32,ALL,80119100,WEB_FLUX
300,1,32,ALL,70505200,WEB_FLUX
300,1,64,ALL,739221800,WEB_FLUX
300,1,64,ALL,63913000,WEB_FLUX
300,1,64,ALL,97251900,WEB_FLUX
300,1,64,ALL,131798000,WEB_FLUX
300,1,64,ALL,73592500,WEB_FLUX
300,1,64,ALL,100805900,WEB_FLUX
300,1,64,ALL,78455700,WEB_FLUX
300,1,64,ALL,106136300,WEB_FLUX
300,1,64,ALL,105559900,WEB_FLUX
300,1,64,ALL,82204800,WEB_FLUX

300,1,128,ALL,713050000,WEB_FLUX
300,1,128,ALL,71130300,WEB_FLUX
300,1,128,ALL,81744900,WEB_FLUX
300,1,128,ALL,68871200,WEB_FLUX
300,1,128,ALL,102280900,WEB_FLUX
300,1,128,ALL,91292700,WEB_FLUX
300,1,128,ALL,137148600,WEB_FLUX
300,1,128,ALL,102023600,WEB_FLUX
300,1,128,ALL,93482400,WEB_FLUX
300,1,128,ALL,76435200,WEB_FLUX

