Number of records, Number of threads, number of request/second, Action(methods), Total time in nano second), ProjectType
300,8,500,ALL,3953500,SPRING_MVC
300,8,500,ALL,3503000,SPRING_MVC
300,8,500,ALL,4674400,SPRING_MVC
300,8,500,ALL,4920200,SPRING_MVC
300,8,500,ALL,4985000,SPRING_MVC
300,8,500,ALL,4332200,SPRING_MVC
300,8,500,ALL,4292000,SPRING_MVC
300,8,500,ALL,4891500,SPRING_MVC
300,8,500,ALL,3753700,SPRING_MVC

300,8,1000,ALL,3753100,SPRING_MVC
300,8,1000,ALL,4816400,SPRING_MVC
300,8,1000,ALL,3038200,SPRING_MVC
300,8,1000,ALL,3214900,SPRING_MVC
300,8,1000,ALL,3705400,SPRING_MVC
300,8,1000,ALL,4244600,SPRING_MVC
300,8,1000,ALL,4652900,SPRING_MVC
300,8,1000,ALL,4141000,SPRING_MVC
300,8,1000,ALL,3693200,SPRING_MVC
300,8,1000,ALL,3557100,SPRING_MVC

300,8,10000,ALL,3559800,SPRING_MVC
300,8,10000,ALL,5073600,SPRING_MVC
300,8,10000,ALL,3898200,SPRING_MVC
300,8,10000,ALL,3445800,SPRING_MVC
300,8,10000,ALL,4425900,SPRING_MVC
300,8,10000,ALL,3873300,SPRING_MVC
300,8,10000,ALL,4862200,SPRING_MVC
300,8,10000,ALL,4041000,SPRING_MVC
300,8,10000,ALL,4225700,SPRING_MVC
300,8,10000,ALL,3731600,SPRING_MVC

Thread test

300,1,10,ALL,559895400,SPRING_MVC
300,1,10,ALL,3748600,SPRING_MVC
300,1,10,ALL,3814700,SPRING_MVC
300,1,10,ALL,3314700,SPRING_MVC
300,1,10,ALL,3062900,SPRING_MVC
300,1,10,ALL,2765400,SPRING_MVC
300,1,10,ALL,4493800,SPRING_MVC
300,1,10,ALL,3234100,SPRING_MVC
300,1,10,ALL,3310200,SPRING_MVC
300,1,10,ALL,3226200,SPRING_MVC

300,2,10,ALL,569476200,SPRING_MVC
300,2,10,ALL,4015100,SPRING_MVC
300,2,10,ALL,3239400,SPRING_MVC
300,2,10,ALL,3332600,SPRING_MVC
300,2,10,ALL,4021100,SPRING_MVC
300,2,10,ALL,2923100,SPRING_MVC
300,2,10,ALL,3203400,SPRING_MVC
300,2,10,ALL,3254000,SPRING_MVC
300,2,10,ALL,2832900,SPRING_MVC
300,2,10,ALL,2926300,SPRING_MVC

300,4,10,ALL,585496200,SPRING_MVC
300,4,10,ALL,4171600,SPRING_MVC
300,4,10,ALL,3862400,SPRING_MVC
300,4,10,ALL,3833200,SPRING_MVC
300,4,10,ALL,4483800,SPRING_MVC
300,4,10,ALL,3704200,SPRING_MVC
300,4,10,ALL,4572700,SPRING_MVC
300,4,10,ALL,3808400,SPRING_MVC
300,4,10,ALL,4521600,SPRING_MVC
300,4,10,ALL,4312200,SPRING_MVC

300,8,10,ALL,3942700,SPRING_MVC
300,8,10,ALL,2954000,SPRING_MVC
300,8,10,ALL,3741300,SPRING_MVC
300,8,10,ALL,4514400,SPRING_MVC
300,8,10,ALL,3452400,SPRING_MVC
300,8,10,ALL,2854700,SPRING_MVC
300,8,10,ALL,3197100,SPRING_MVC
300,8,10,ALL,3868800,SPRING_MVC
300,8,10,ALL,3184300,SPRING_MVC
300,8,10,ALL,7293600,SPRING_MVC

300,1,100,ALL,546268600,SPRING_MVC
300,1,100,ALL,3793700,SPRING_MVC
300,1,100,ALL,2750300,SPRING_MVC
300,1,100,ALL,3236600,SPRING_MVC
300,1,100,ALL,2780500,SPRING_MVC
300,1,100,ALL,3516700,SPRING_MVC
300,1,100,ALL,3001100,SPRING_MVC
300,1,100,ALL,2729400,SPRING_MVC
300,1,100,ALL,3199700,SPRING_MVC
300,1,100,ALL,3109500,SPRING_MVC

300,2,100,ALL,521780900,SPRING_MVC
300,2,100,ALL,3376700,SPRING_MVC
300,2,100,ALL,2894100,SPRING_MVC
300,2,100,ALL,3147800,SPRING_MVC
300,2,100,ALL,2641100,SPRING_MVC
300,2,100,ALL,2828800,SPRING_MVC
300,2,100,ALL,3364500,SPRING_MVC
300,2,100,ALL,3286500,SPRING_MVC
300,2,100,ALL,2652800,SPRING_MVC
300,2,100,ALL,3289700,SPRING_MVC

300,4,100,ALL,626194600,SPRING_MVC
300,4,100,ALL,3639100,SPRING_MVC
300,4,100,ALL,5401100,SPRING_MVC
300,4,100,ALL,4188500,SPRING_MVC
300,4,100,ALL,4354700,SPRING_MVC
300,4,100,ALL,4003600,SPRING_MVC
300,4,100,ALL,4943200,SPRING_MVC
300,4,100,ALL,3175700,SPRING_MVC
300,4,100,ALL,4105100,SPRING_MVC
300,4,100,ALL,4215800,SPRING_MVC

300,8,100,ALL,4200600,SPRING_MVC
300,8,100,ALL,3495700,SPRING_MVC
300,8,100,ALL,3858000,SPRING_MVC
300,8,100,ALL,4069900,SPRING_MVC
300,8,100,ALL,3342400,SPRING_MVC
300,8,100,ALL,3823900,SPRING_MVC
300,8,100,ALL,3172900,SPRING_MVC
300,8,100,ALL,3682700,SPRING_MVC
300,8,100,ALL,3437000,SPRING_MVC
300,8,100,ALL,4436100,SPRING_MVC


300,2,1,ALL,923481600,WEB_FLUX
300,2,1,ALL,228218800,WEB_FLUX
300,2,1,ALL,63195700,WEB_FLUX
300,2,1,ALL,231150400,WEB_FLUX
300,2,1,ALL,242415800,WEB_FLUX
300,2,1,ALL,62133600,WEB_FLUX
300,2,1,ALL,57608600,WEB_FLUX
300,2,1,ALL,271142000,WEB_FLUX
300,2,1,ALL,264510800,WEB_FLUX
300,2,1,ALL,73725700,WEB_FLUX

300,2,2,ALL,749828700,WEB_FLUX
300,2,2,ALL,61470800,WEB_FLUX
300,2,2,ALL,60096200,WEB_FLUX
300,2,2,ALL,254465300,WEB_FLUX
300,2,2,ALL,262370300,WEB_FLUX
300,2,2,ALL,66184800,WEB_FLUX
300,2,2,ALL,246392000,WEB_FLUX
300,2,2,ALL,271514400,WEB_FLUX
300,2,2,ALL,271970700,WEB_FLUX
300,2,2,ALL,348824700,WEB_FLUX

300,2,5,ALL,614667900,WEB_FLUX
300,2,5,ALL,74872600,WEB_FLUX
300,2,5,ALL,64506600,WEB_FLUX
300,2,5,ALL,80603600,WEB_FLUX
300,2,5,ALL,125329200,WEB_FLUX
300,2,5,ALL,135072100,WEB_FLUX
300,2,5,ALL,330960500,WEB_FLUX
300,2,5,ALL,87732500,WEB_FLUX
300,2,5,ALL,97640800,WEB_FLUX
300,2,5,ALL,82426400,WEB_FLUX

300,2,10,ALL,750160700,WEB_FLUX
300,2,10,ALL,155832500,WEB_FLUX
300,2,10,ALL,94378600,WEB_FLUX
300,2,10,ALL,83187900,WEB_FLUX
300,2,10,ALL,90132000,WEB_FLUX
300,2,10,ALL,86143900,WEB_FLUX
300,2,10,ALL,192656600,WEB_FLUX
300,2,10,ALL,135907700,WEB_FLUX
300,2,10,ALL,178441100,WEB_FLUX
300,2,10,ALL,95027800,WEB_FLUX

300,2,100,ALL,747111500,WEB_FLUX
300,2,100,ALL,81274700,WEB_FLUX
300,2,100,ALL,76783700,WEB_FLUX
300,2,100,ALL,230767900,WEB_FLUX
300,2,100,ALL,82864400,WEB_FLUX
300,2,100,ALL,77989300,WEB_FLUX
300,2,100,ALL,119098500,WEB_FLUX
300,2,100,ALL,72095700,WEB_FLUX
300,2,100,ALL,121268600,WEB_FLUX
300,2,100,ALL,105985500,WEB_FLUX

300,2,500,ALL,907012800,WEB_FLUX
300,2,500,ALL,95053600,WEB_FLUX
300,2,500,ALL,96941500,WEB_FLUX
300,2,500,ALL,147958800,WEB_FLUX
300,2,500,ALL,157250000,WEB_FLUX
300,2,500,ALL,120878300,WEB_FLUX
300,2,500,ALL,90178600,WEB_FLUX
300,2,500,ALL,88773600,WEB_FLUX
300,2,500,ALL,94167800,WEB_FLUX
300,2,500,ALL,74247900,WEB_FLUX

300,2,1000,ALL,786790800,WEB_FLUX
300,2,1000,ALL,79908600,WEB_FLUX
300,2,1000,ALL,64829200,WEB_FLUX
300,2,1000,ALL,102244000,WEB_FLUX
300,2,1000,ALL,122861400,WEB_FLUX
300,2,1000,ALL,469825100,WEB_FLUX
300,2,1000,ALL,243500200,WEB_FLUX
300,2,1000,ALL,92214000,WEB_FLUX
300,2,1000,ALL,269469900,WEB_FLUX
300,2,1000,ALL,96494000,WEB_FLUX

300,2,10000,ALL,926261200,WEB_FLUX
300,2,10000,ALL,281897800,WEB_FLUX
300,2,10000,ALL,114226500,WEB_FLUX
300,2,10000,ALL,222231900,WEB_FLUX
300,2,10000,ALL,263286900,WEB_FLUX
300,2,10000,ALL,148219800,WEB_FLUX
300,2,10000,ALL,159085800,WEB_FLUX
300,2,10000,ALL,133790200,WEB_FLUX
300,2,10000,ALL,83958900,WEB_FLUX
300,2,10000,ALL,190028500,WEB_FLUX

300,4,1,ALL,1088486900,WEB_FLUX
300,4,1,ALL,369147200,WEB_FLUX
300,4,1,ALL,356134300,WEB_FLUX
300,4,1,ALL,367739500,WEB_FLUX
300,4,1,ALL,376310100,WEB_FLUX
300,4,1,ALL,119691900,WEB_FLUX
300,4,1,ALL,377448600,WEB_FLUX
300,4,1,ALL,339612400,WEB_FLUX
300,4,1,ALL,363370200,WEB_FLUX
300,4,1,ALL,65274100,WEB_FLUX
300,4,2,ALL,896619800,WEB_FLUX
300,4,2,ALL,335204600,WEB_FLUX
300,4,2,ALL,71674300,WEB_FLUX
300,4,2,ALL,389185900,WEB_FLUX
300,4,2,ALL,74679200,WEB_FLUX
300,4,2,ALL,427416200,WEB_FLUX
300,4,2,ALL,323865700,WEB_FLUX
300,4,2,ALL,350093100,WEB_FLUX
300,4,2,ALL,130336900,WEB_FLUX
300,4,2,ALL,644589200,WEB_FLUX

300,4,5,ALL,768664800,WEB_FLUX
300,4,5,ALL,149487500,WEB_FLUX
300,4,5,ALL,176078400,WEB_FLUX
300,4,5,ALL,222144700,WEB_FLUX
300,4,5,ALL,91696200,WEB_FLUX
300,4,5,ALL,104637300,WEB_FLUX
300,4,5,ALL,235838900,WEB_FLUX
300,4,5,ALL,318889200,WEB_FLUX
300,4,5,ALL,216797900,WEB_FLUX
300,4,5,ALL,204972400,WEB_FLUX

300,4,10,ALL,947038400,WEB_FLUX
300,4,10,ALL,172851500,WEB_FLUX
300,4,10,ALL,198150200,WEB_FLUX
300,4,10,ALL,210105300,WEB_FLUX
300,4,10,ALL,156435800,WEB_FLUX
300,4,10,ALL,281848600,WEB_FLUX
300,4,10,ALL,117874500,WEB_FLUX
300,4,10,ALL,198498000,WEB_FLUX
300,4,10,ALL,337993900,WEB_FLUX
300,4,10,ALL,185006300,WEB_FLUX

300,4,100,ALL,959522600,WEB_FLUX
300,4,100,ALL,131529300,WEB_FLUX
300,4,100,ALL,150484800,WEB_FLUX
300,4,100,ALL,148415200,WEB_FLUX
300,4,100,ALL,81631500,WEB_FLUX
300,4,100,ALL,160557400,WEB_FLUX
300,4,100,ALL,264119400,WEB_FLUX
300,4,100,ALL,168062100,WEB_FLUX
300,4,100,ALL,321117300,WEB_FLUX
300,4,100,ALL,149057800,WEB_FLUX

300,4,500,ALL,948538800,WEB_FLUX
300,4,500,ALL,231310700,WEB_FLUX
300,4,500,ALL,200603400,WEB_FLUX
300,4,500,ALL,121254500,WEB_FLUX
300,4,500,ALL,185719100,WEB_FLUX
300,4,500,ALL,183373500,WEB_FLUX
300,4,500,ALL,142840100,WEB_FLUX
300,4,500,ALL,178132900,WEB_FLUX
300,4,500,ALL,117939400,WEB_FLUX
300,4,500,ALL,153120400,WEB_FLUX

300,4,1000,ALL,754892700,WEB_FLUX
300,4,1000,ALL,301054600,WEB_FLUX
300,4,1000,ALL,144511600,WEB_FLUX
300,4,1000,ALL,326790400,WEB_FLUX
300,4,1000,ALL,343287300,WEB_FLUX
300,4,1000,ALL,124593000,WEB_FLUX
300,4,1000,ALL,492374200,WEB_FLUX
300,4,1000,ALL,129891900,WEB_FLUX
300,4,1000,ALL,122449100,WEB_FLUX
300,4,1000,ALL,184109600,WEB_FLUX

300,4,10000,ALL,1034513000,WEB_FLUX
300,4,10000,ALL,98597000,WEB_FLUX
300,4,10000,ALL,214047200,WEB_FLUX
300,4,10000,ALL,97741600,WEB_FLUX
300,4,10000,ALL,185394300,WEB_FLUX
300,4,10000,ALL,334618900,WEB_FLUX
300,4,10000,ALL,384573100,WEB_FLUX
300,4,10000,ALL,144068200,WEB_FLUX
300,4,10000,ALL,134751800,WEB_FLUX
300,4,10000,ALL,113023200,WEB_FLUX

300,8,1,ALL,75523800,WEB_FLUX
300,8,1,ALL,80818500,WEB_FLUX
300,8,1,ALL,80652600,WEB_FLUX
300,8,1,ALL,71161900,WEB_FLUX
300,8,1,ALL,110252400,WEB_FLUX
300,8,1,ALL,83450100,WEB_FLUX
300,8,1,ALL,101805100,WEB_FLUX
300,8,1,ALL,116801700,WEB_FLUX
300,8,1,ALL,86096500,WEB_FLUX
300,8,1,ALL,83175900,WEB_FLUX

300,8,2,ALL,202393000,WEB_FLUX
300,8,2,ALL,135353100,WEB_FLUX
300,8,2,ALL,189170500,WEB_FLUX
300,8,2,ALL,117183800,WEB_FLUX
300,8,2,ALL,162445700,WEB_FLUX
300,8,2,ALL,96378100,WEB_FLUX
300,8,2,ALL,140288000,WEB_FLUX
300,8,2,ALL,184351700,WEB_FLUX
300,8,2,ALL,122748900,WEB_FLUX
300,8,2,ALL,134100200,WEB_FLUX

300,8,5,ALL,207632100,WEB_FLUX
300,8,5,ALL,178962300,WEB_FLUX
300,8,5,ALL,169923700,WEB_FLUX
300,8,5,ALL,213937000,WEB_FLUX
300,8,5,ALL,156190600,WEB_FLUX
300,8,5,ALL,118291400,WEB_FLUX
300,8,5,ALL,159371300,WEB_FLUX
300,8,5,ALL,163753000,WEB_FLUX
300,8,5,ALL,177963700,WEB_FLUX
300,8,5,ALL,170807100,WEB_FLUX

300,8,10,ALL,144726100,WEB_FLUX
300,8,10,ALL,140692900,WEB_FLUX
300,8,10,ALL,137575600,WEB_FLUX
300,8,10,ALL,182705000,WEB_FLUX
300,8,10,ALL,145726300,WEB_FLUX
300,8,10,ALL,160070300,WEB_FLUX
300,8,10,ALL,164798800,WEB_FLUX
300,8,10,ALL,131406700,WEB_FLUX
300,8,10,ALL,189648900,WEB_FLUX
300,8,10,ALL,150141800,WEB_FLUX

300,8,100,ALL,143026800,WEB_FLUX
300,8,100,ALL,134497000,WEB_FLUX
300,8,100,ALL,204063300,WEB_FLUX
300,8,100,ALL,364898500,WEB_FLUX
300,8,100,ALL,154468100,WEB_FLUX
300,8,100,ALL,131637700,WEB_FLUX
300,8,100,ALL,155738500,WEB_FLUX
300,8,100,ALL,138504100,WEB_FLUX
300,8,100,ALL,134119300,WEB_FLUX
300,8,100,ALL,114709900,WEB_FLUX

300,8,500,ALL,122313900,WEB_FLUX
300,8,500,ALL,125987500,WEB_FLUX
300,8,500,ALL,280390500,WEB_FLUX
300,8,500,ALL,133012000,WEB_FLUX
300,8,500,ALL,131414900,WEB_FLUX
300,8,500,ALL,155794800,WEB_FLUX
300,8,500,ALL,124651000,WEB_FLUX
300,8,500,ALL,156713100,WEB_FLUX
300,8,500,ALL,193093700,WEB_FLUX
300,8,500,ALL,182931100,WEB_FLUX

300,8,1000,ALL,150562500,WEB_FLUX
300,8,1000,ALL,149134800,WEB_FLUX
300,8,1000,ALL,94547100,WEB_FLUX
300,8,1000,ALL,154203800,WEB_FLUX
300,8,1000,ALL,110087900,WEB_FLUX
300,8,1000,ALL,165621400,WEB_FLUX
300,8,1000,ALL,126239800,WEB_FLUX
300,8,1000,ALL,153783500,WEB_FLUX
300,8,1000,ALL,140305900,WEB_FLUX
300,8,1000,ALL,110544800,WEB_FLUX

300,8,10000,ALL,100055100,WEB_FLUX
300,8,10000,ALL,187647100,WEB_FLUX
300,8,10000,ALL,360006000,WEB_FLUX
300,8,10000,ALL,139624300,WEB_FLUX
300,8,10000,ALL,91226400,WEB_FLUX
300,8,10000,ALL,118892800,WEB_FLUX
300,8,10000,ALL,102310700,WEB_FLUX
300,8,10000,ALL,114962100,WEB_FLUX
300,8,10000,ALL,103331100,WEB_FLUX
300,8,10000,ALL,147491300,WEB_FLUX


300,1,10,ALL,714139500,WEB_FLUX
300,1,10,ALL,115116400,WEB_FLUX
300,1,10,ALL,94615700,WEB_FLUX
300,1,10,ALL,108895100,WEB_FLUX
300,1,10,ALL,91742300,WEB_FLUX
300,1,10,ALL,133803800,WEB_FLUX
300,1,10,ALL,186269000,WEB_FLUX
300,1,10,ALL,79580200,WEB_FLUX
300,1,10,ALL,116034100,WEB_FLUX
300,1,10,ALL,71817200,WEB_FLUX
300,2,10,ALL,713206600,WEB_FLUX
300,2,10,ALL,94088300,WEB_FLUX
300,2,10,ALL,91700300,WEB_FLUX
300,2,10,ALL,117833800,WEB_FLUX
300,2,10,ALL,90157000,WEB_FLUX
300,2,10,ALL,124898900,WEB_FLUX
300,2,10,ALL,107543500,WEB_FLUX
300,2,10,ALL,130354800,WEB_FLUX
300,2,10,ALL,111973600,WEB_FLUX
300,2,10,ALL,145176800,WEB_FLUX
300,4,10,ALL,1062792900,WEB_FLUX
300,4,10,ALL,73994200,WEB_FLUX
300,4,10,ALL,428859000,WEB_FLUX
300,4,10,ALL,130490200,WEB_FLUX
300,4,10,ALL,143670100,WEB_FLUX
300,4,10,ALL,244862700,WEB_FLUX
300,4,10,ALL,308637400,WEB_FLUX
300,4,10,ALL,265855100,WEB_FLUX
300,4,10,ALL,212693500,WEB_FLUX
300,4,10,ALL,141007100,WEB_FLUX
300,8,10,ALL,110793700,WEB_FLUX
300,8,10,ALL,126617600,WEB_FLUX
300,8,10,ALL,111340700,WEB_FLUX
300,8,10,ALL,151339800,WEB_FLUX
300,8,10,ALL,189162700,WEB_FLUX
300,8,10,ALL,110896100,WEB_FLUX
300,8,10,ALL,131329800,WEB_FLUX
300,8,10,ALL,136454900,WEB_FLUX
300,8,10,ALL,113321300,WEB_FLUX
300,8,10,ALL,106588900,WEB_FLUX
300,1,100,ALL,676282800,WEB_FLUX
300,1,100,ALL,72274700,WEB_FLUX
300,1,100,ALL,71628500,WEB_FLUX
300,1,100,ALL,70460600,WEB_FLUX
300,1,100,ALL,101821900,WEB_FLUX
300,1,100,ALL,129452100,WEB_FLUX
300,1,100,ALL,149103300,WEB_FLUX
300,1,100,ALL,67899600,WEB_FLUX
300,1,100,ALL,67046900,WEB_FLUX
300,1,100,ALL,68170400,WEB_FLUX
300,2,100,ALL,900974500,WEB_FLUX
300,2,100,ALL,122074000,WEB_FLUX
300,2,100,ALL,181497700,WEB_FLUX
300,2,100,ALL,74052400,WEB_FLUX
300,2,100,ALL,78672900,WEB_FLUX
300,2,100,ALL,87753700,WEB_FLUX
300,2,100,ALL,133154100,WEB_FLUX
300,2,100,ALL,108725300,WEB_FLUX
300,2,100,ALL,211239100,WEB_FLUX
300,2,100,ALL,135852600,WEB_FLUX
300,4,100,ALL,720822000,WEB_FLUX
300,4,100,ALL,140479900,WEB_FLUX
300,4,100,ALL,116699600,WEB_FLUX
300,4,100,ALL,329294700,WEB_FLUX
300,4,100,ALL,101005400,WEB_FLUX
300,4,100,ALL,522513000,WEB_FLUX
300,4,100,ALL,148182000,WEB_FLUX
300,4,100,ALL,270567300,WEB_FLUX
300,4,100,ALL,235854800,WEB_FLUX
300,4,100,ALL,225640800,WEB_FLUX
300,8,100,ALL,159997100,WEB_FLUX
300,8,100,ALL,138227100,WEB_FLUX
300,8,100,ALL,175299300,WEB_FLUX
300,8,100,ALL,147421000,WEB_FLUX
300,8,100,ALL,156381100,WEB_FLUX
300,8,100,ALL,217522400,WEB_FLUX
300,8,100,ALL,121880900,WEB_FLUX
300,8,100,ALL,146733700,WEB_FLUX
300,8,100,ALL,141970200,WEB_FLUX
300,8,100,ALL,119512100,WEB_FLUX

CREATE

300,1,1,CREATE,1201276600,WEB_FLUX
300,1,1,CREATE,175164700,WEB_FLUX
300,1,1,CREATE,106277800,WEB_FLUX
300,1,1,CREATE,59371400,WEB_FLUX
300,1,1,CREATE,63190800,WEB_FLUX
300,1,1,CREATE,62226900,WEB_FLUX
300,1,1,CREATE,62381600,WEB_FLUX
300,1,1,CREATE,73092300,WEB_FLUX
300,1,1,CREATE,112294400,WEB_FLUX
300,1,1,CREATE,130017700,WEB_FLUX
Doesn't affect the database
500,1,10,CREATE,780079400,WEB_FLUX
500,1,10,CREATE,88358800,WEB_FLUX
500,1,10,CREATE,139648900,WEB_FLUX
500,1,10,CREATE,108873800,WEB_FLUX
500,1,10,CREATE,56877700,WEB_FLUX
500,1,10,CREATE,60907700,WEB_FLUX
500,1,10,CREATE,184101900,WEB_FLUX
500,1,10,CREATE,121703000,WEB_FLUX
500,1,10,CREATE,57231100,WEB_FLUX
500,1,10,CREATE,87326400,WEB_FLUX

500,1,100,CREATE,802908800,WEB_FLUX
500,1,100,CREATE,114175100,WEB_FLUX
500,1,100,CREATE,72138700,WEB_FLUX
500,1,100,CREATE,67053800,WEB_FLUX
500,1,100,CREATE,61306900,WEB_FLUX
500,1,100,CREATE,87012300,WEB_FLUX
500,1,100,CREATE,82848300,WEB_FLUX
500,1,100,CREATE,111909600,WEB_FLUX
500,1,100,CREATE,54577500,WEB_FLUX
500,1,100,CREATE,88322600,WEB_FLUX


500,1,1,DELETE_ALL,737097900,WEB_FLUX
500,1,1,DELETE_ALL,57958800,WEB_FLUX
500,1,1,DELETE_ALL,61164300,WEB_FLUX
500,1,1,DELETE_ALL,60763900,WEB_FLUX
500,1,1,DELETE_ALL,59009000,WEB_FLUX
500,1,1,DELETE_ALL,65707500,WEB_FLUX
500,1,1,DELETE_ALL,58202000,WEB_FLUX
500,1,1,DELETE_ALL,57203600,WEB_FLUX
500,1,1,DELETE_ALL,62229100,WEB_FLUX
500,1,1,DELETE_ALL,63873000,WEB_FLUX

100,1,1,DELETE_ALL,758070600,WEB_FLUX


300,1,1,ALL,803615200,SPRING_MVC
300,1,1,ALL,6439300,SPRING_MVC
300,1,1,ALL,10599400,SPRING_MVC
300,1,1,ALL,5433400,SPRING_MVC
300,1,1,ALL,9338400,SPRING_MVC
300,1,1,ALL,6241900,SPRING_MVC
300,1,1,ALL,8034700,SPRING_MVC
300,1,1,ALL,5114000,SPRING_MVC
300,1,1,ALL,7976700,SPRING_MVC
300,1,1,ALL,4813600,SPRING_MVC
300,1,1,ALL,629664200,SPRING_MVC
300,1,1,ALL,7319900,SPRING_MVC
300,1,1,ALL,8862300,SPRING_MVC
300,1,1,ALL,5922600,SPRING_MVC
300,1,1,ALL,5143000,SPRING_MVC
300,1,1,ALL,613135000,SPRING_MVC
300,1,1,ALL,7543800,SPRING_MVC
300,1,1,ALL,5439800,SPRING_MVC
300,1,1,ALL,4863500,SPRING_MVC
300,1,1,ALL,4821600,SPRING_MVC
500,1,1,ALL,775878900,SPRING_MVC
500,1,1,ALL,7813100,SPRING_MVC
500,1,1,ALL,5428500,SPRING_MVC
500,1,1,ALL,5129900,SPRING_MVC
500,1,1,ALL,5305400,SPRING_MVC

500,4,4,DELETE_ALL,554346900,SPRING_MVC

