Number of records, Number of threads, number of request/second, Action(methods), Total time in nano second), ProjectType


500,1,1,ALL,249006000,0.249006,SPRING_MVC
500,1,10,ALL,252412900,0.2524129,SPRING_MVC
500,1,100,ALL,241175200,0.2411752,SPRING_MVC
500,1,1000,ALL,240603300,0.2406033,SPRING_MVC
500,1,10000,ALL,250856400,0.2508564,SPRING_MVC
500,1,20000,ALL,241608300,0.2416083,SPRING_MVC


500,1,1,ALL,452316000,WEB_FLUX
500,1,10,ALL,317619350,WEB_FLUX
500,1,100,ALL,351252550,WEB_FLUX
500,1,1000,ALL,341056300,WEB_FLUX
500,1,10000,ALL,348464450,WEB_FLUX
500,1,20000,ALL,358221350,WEB_FLUX


500,4,10,ALL,259994600,WEB_FLUX
